Артикул продукции,Наименование продукции,Цех,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12
330012233414,Железная штука №330012233414,555,1242.0,2491.0,5447.0,2702.0,1604.0,2547.0,890.0,413.0,659.0,2580.0,735.0,4406.0,4915.0,1356.0,2909.0,399.0,1196.0,1261.0,0.0,814.0,166.0,1098.0,659.0,1843.0,1380.0,5503.0,942.0,964.0,3695.0,1281.0,812.0,0.0,1094.0,6167.0,0.0,3070.0
330012233415,Железная штука №330012233415,511,366.0,0.0,1488.0,1514.0,586.0,0.0,4518.0,201.0,1048.0,3145.0,627.0,0.0,2844.0,2452.0,4907.0,11229.0,0.0,2040.0,833.0,1697.0,0.0,1544.0,2030.0,3996.0,2098.0,1705.0,1636.0,117.0,3420.0,3494.0,1907.0,1070.0,4327.0,1750.0,283.0,1189.0
330012233415,Железная штука №330012233415,522,1267.0,3695.0,0.0,2579.0,0.0,1883.0,3193.0,4858.0,4572.0,1023.0,6559.0,5868.0,2671.0,1691.0,1363.0,3747.0,6048.0,0.0,2855.0,3588.0,0.0,2831.0,420.0,3167.0,5443.0,4507.0,4233.0,6360.0,2868.0,612.0,1548.0,4063.0,3691.0,554.0,5618.0,2539.0
330012233415,Железная штука №330012233415,533,707.0,0.0,4317.0,473.0,2456.0,0.0,1112.0,91.0,181.0,1010.0,765.0,3384.0,2301.0,1929.0,707.0,96.0,786.0,652.0,182.0,1249.0,644.0,684.0,1103.0,1541.0,207.0,5146.0,1620.0,2737.0,1256.0,1145.0,6334.0,4012.0,2695.0,4149.0,1560.0,2386.0
330012233415,Железная штука №330012233415,544,2741.0,0.0,0.0,747.0,0.0,3675.0,1456.0,4093.0,1369.0,4525.0,2065.0,1083.0,330.0,6259.0,5545.0,0.0,1376.0,984.0,345.0,133.0,840.0,0.0,646.0,800.0,2805.0,1565.0,143.0,977.0,2944.0,156.0,1726.0,3422.0,3677.0,3947.0,0.0,3139.0
330012233415,Железная штука №330012233415,555,1663.0,1624.0,2312.0,2274.0,987.0,0.0,1021.0,0.0,480.0,2050.0,3481.0,2357.0,1704.0,2420.0,2613.0,394.0,4371.0,0.0,698.0,2804.0,2393.0,2704.0,0.0,3421.0,4868.0,2053.0,1389.0,2009.0,3137.0,1057.0,0.0,3045.0,409.0,294.0,1775.0,200.0
330012233416,Железная штука №330012233416,511,2839.0,379.0,813.0,3022.0,5734.0,236.0,0.0,3453.0,1602.0,1828.0,970.0,3390.0,1914.0,3340.0,3847.0,0.0,6127.0,5932.0,472.0,1788.0,0.0,3499.0,1051.0,3153.0,1220.0,6141.0,917.0,609.0,3942.0,4151.0,2396.0,826.0,372.0,434.0,2411.0,187.0
330012233416,Железная штука №330012233416,522,0.0,0.0,732.0,2495.0,0.0,1592.0,653.0,0.0,937.0,0.0,3637.0,511.0,276.0,0.0,0.0,4378.0,1879.0,4108.0,3566.0,4270.0,514.0,2695.0,0.0,4205.0,729.0,2662.0,1816.0,1642.0,2383.0,1087.0,1530.0,930.0,3523.0,2628.0,589.0,0.0
330012233416,Железная штука №330012233416,533,3538.0,945.0,976.0,0.0,263.0,1005.0,2716.0,2923.0,965.0,0.0,2456.0,2280.0,0.0,384.0,217.0,0.0,6862.0,4871.0,2565.0,1628.0,394.0,1988.0,0.0,0.0,0.0,1701.0,4314.0,3426.0,5908.0,4433.0,1713.0,1525.0,1856.0,2535.0,1886.0,4111.0
330012233416,Железная штука №330012233416,544,3162.0,0.0,342.0,2505.0,2242.0,3000.0,1140.0,3537.0,978.0,6168.0,247.0,3599.0,2304.0,1346.0,2522.0,593.0,1600.0,510.0,1508.0,488.0,1860.0,1569.0,2659.0,2955.0,2900.0,2769.0,1059.0,0.0,2509.0,2838.0,1074.0,1944.0,436.0,2170.0,2331.0,1594.0
330012233416,Железная штука №330012233416,555,0.0,1991.0,4128.0,3356.0,419.0,768.0,0.0,1246.0,0.0,1958.0,1215.0,790.0,1500.0,6717.0,1214.0,2906.0,0.0,538.0,1071.0,975.0,1196.0,673.0,2773.0,1349.0,609.0,2165.0,1641.0,4074.0,2290.0,0.0,1270.0,5087.0,77.0,2494.0,3012.0,5133.0
330012233417,Железная штука №330012233417,511,4591.0,237.0,1078.0,868.0,2162.0,2050.0,827.0,2641.0,1748.0,3170.0,309.0,186.0,0.0,2177.0,2906.0,2568.0,4364.0,1785.0,0.0,3561.0,2945.0,4002.0,122.0,0.0,4263.0,440.0,1520.0,0.0,293.0,2312.0,2034.0,5382.0,2240.0,1715.0,1149.0,1235.0
330012233417,Железная штука №330012233417,522,0.0,1688.0,1839.0,3760.0,1576.0,2851.0,3033.0,476.0,340.0,1477.0,8103.0,199.0,2632.0,3003.0,626.0,3755.0,0.0,0.0,4134.0,162.0,3446.0,1252.0,1320.0,2508.0,3337.0,1341.0,3290.0,0.0,1321.0,3568.0,1686.0,335.0,3536.0,1469.0,1561.0,936.0
330012233417,Железная штука №330012233417,533,778.0,669.0,1649.0,0.0,1006.0,0.0,5789.0,1267.0,0.0,546.0,989.0,72.0,2152.0,1223.0,2206.0,2600.0,0.0,2564.0,2670.0,1987.0,1953.0,2592.0,2759.0,1954.0,944.0,0.0,3442.0,4769.0,1765.0,1464.0,833.0,2602.0,1042.0,2783.0,1649.0,2908.0
330012233417,Железная штука №330012233417,544,1023.0,0.0,537.0,3815.0,4965.0,5561.0,144.0,0.0,208.0,1210.0,2911.0,4264.0,1845.0,2829.0,3339.0,675.0,305.0,1303.0,2703.0,0.0,1287.0,1486.0,4674.0,1345.0,0.0,1145.0,1723.0,2846.0,663.0,609.0,584.0,245.0,295.0,326.0,0.0,1432.0
330012233417,Железная штука №330012233417,555,2964.0,2540.0,77.0,0.0,2107.0,1349.0,588.0,935.0,0.0,901.0,1630.0,2291.0,1536.0,670.0,1198.0,594.0,2604.0,260.0,341.0,1973.0,3732.0,1720.0,115.0,1927.0,1464.0,3517.0,1407.0,2013.0,2244.0,0.0,5392.0,0.0,2621.0,323.0,309.0,4792.0
330012233418,Железная штука №330012233418,511,0.0,2283.0,314.0,0.0,572.0,1700.0,1375.0,1602.0,5002.0,1559.0,0.0,940.0,0.0,1178.0,4153.0,565.0,427.0,5059.0,123.0,1764.0,0.0,2769.0,1924.0,1327.0,0.0,562.0,690.0,2171.0,2884.0,0.0,0.0,0.0,1640.0,3755.0,0.0,2333.0
330012233418,Железная штука №330012233418,522,3845.0,1969.0,488.0,2120.0,0.0,1221.0,1419.0,135.0,1129.0,120.0,2372.0,2794.0,741.0,3658.0,1131.0,800.0,0.0,1414.0,0.0,3948.0,282.0,2216.0,6701.0,1351.0,657.0,3944.0,1741.0,2330.0,2623.0,442.0,209.0,408.0,194.0,258.0,281.0,0.0
330012233418,Железная штука №330012233418,533,2291.0,3342.0,1427.0,667.0,480.0,2036.0,754.0,5163.0,3583.0,143.0,2267.0,0.0,1328.0,3310.0,2758.0,362.0,352.0,1089.0,1349.0,1023.0,0.0,3421.0,4896.0,4115.0,1359.0,1412.0,972.0,1677.0,4868.0,1029.0,0.0,3738.0,187.0,2461.0,1690.0,1434.0
330012233418,Железная штука №330012233418,544,226.0,3353.0,0.0,262.0,2188.0,3020.0,0.0,2886.0,3767.0,0.0,259.0,2683.0,1281.0,2668.0,1466.0,80.0,2140.0,1261.0,713.0,1778.0,2960.0,5335.0,2187.0,1911.0,636.0,1717.0,538.0,2626.0,0.0,932.0,161.0,3217.0,0.0,2576.0,744.0,914.0
330012233418,Железная штука №330012233418,555,4126.0,359.0,892.0,9391.0,2367.0,0.0,0.0,2182.0,2745.0,467.0,1779.0,2813.0,0.0,0.0,484.0,1213.0,1645.0,358.0,2741.0,1187.0,0.0,2153.0,1214.0,4183.0,0.0,428.0,1622.0,1019.0,125.0,3443.0,215.0,3040.0,4027.0,1377.0,3031.0,3377.0
330012233419,Железная штука №330012233419,511,2022.0,6375.0,2837.0,2710.0,2062.0,362.0,2316.0,1018.0,4331.0,0.0,2136.0,0.0,434.0,0.0,618.0,0.0,777.0,3734.0,2482.0,0.0,0.0,1043.0,2105.0,0.0,0.0,296.0,590.0,0.0,2267.0,3867.0,2512.0,1783.0,1133.0,1442.0,852.0,2607.0
330012233419,Железная штука №330012233419,522,3853.0,2945.0,1657.0,560.0,0.0,3595.0,0.0,0.0,2164.0,1046.0,2877.0,455.0,1992.0,3927.0,0.0,0.0,1791.0,698.0,2232.0,3743.0,0.0,2519.0,3373.0,1696.0,2245.0,2581.0,2990.0,1640.0,429.0,693.0,2659.0,5132.0,1420.0,1966.0,1809.0,1336.0
330012233419,Железная штука №330012233419,533,464.0,742.0,994.0,212.0,1568.0,4683.0,0.0,1393.0,4564.0,4907.0,2721.0,441.0,3580.0,321.0,521.0,3894.0,1715.0,2164.0,1928.0,177.0,0.0,2717.0,154.0,3605.0,822.0,4647.0,2608.0,2739.0,1677.0,1773.0,0.0,4408.0,3958.0,4311.0,0.0,1217.0
330012233419,Железная штука №330012233419,544,224.0,6619.0,2831.0,0.0,3062.0,1164.0,0.0,729.0,192.0,1054.0,4819.0,1262.0,400.0,430.0,1227.0,213.0,1857.0,1701.0,2109.0,2643.0,3935.0,1159.0,686.0,0.0,999.0,3269.0,2220.0,0.0,1982.0,4488.0,2569.0,2347.0,380.0,3327.0,1363.0,1455.0
330012233419,Железная штука №330012233419,555,1267.0,1567.0,614.0,2242.0,0.0,489.0,0.0,1537.0,2022.0,576.0,2495.0,1309.0,1347.0,1267.0,384.0,2328.0,94.0,116.0,2447.0,2495.0,175.0,2955.0,997.0,3527.0,2644.0,3100.0,1739.0,6835.0,2078.0,113.0,732.0,653.0,2807.0,468.0,1580.0,2483.0
330012233420,Железная штука №330012233420,511,130.0,3856.0,2214.0,3674.0,231.0,2082.0,0.0,264.0,0.0,652.0,1095.0,1062.0,902.0,2096.0,0.0,1639.0,1098.0,2890.0,513.0,285.0,4195.0,872.0,1213.0,3450.0,387.0,633.0,1945.0,612.0,185.0,106.0,437.0,2834.0,1302.0,3097.0,2193.0,5551.0
330012233420,Железная штука №330012233420,522,0.0,267.0,2813.0,804.0,0.0,515.0,2382.0,2342.0,0.0,2267.0,9439.0,1234.0,0.0,0.0,168.0,615.0,0.0,2976.0,0.0,3219.0,171.0,11145.0,1331.0,1040.0,2643.0,2965.0,49.0,440.0,817.0,0.0,659.0,3850.0,461.0,565.0,1104.0,1270.0
330012233420,Железная штука №330012233420,533,517.0,0.0,1449.0,0.0,3085.0,1642.0,713.0,2993.0,946.0,2195.0,551.0,0.0,1828.0,1858.0,4236.0,3530.0,804.0,0.0,0.0,947.0,800.0,479.0,901.0,0.0,0.0,2786.0,2365.0,1150.0,0.0,1157.0,0.0,2468.0,0.0,4041.0,2693.0,2958.0
330012233420,Железная штука №330012233420,544,4603.0,0.0,2002.0,533.0,1872.0,4664.0,3968.0,193.0,336.0,2882.0,2518.0,4272.0,0.0,2327.0,6481.0,2601.0,690.0,1804.0,1258.0,1367.0,1983.0,0.0,2023.0,0.0,5856.0,244.0,661.0,3565.0,1218.0,624.0,842.0,1327.0,147.0,872.0,2041.0,418.0
330012233420,Железная штука №330012233420,555,1454.0,3100.0,1247.0,3644.0,610.0,227.0,2873.0,0.0,2009.0,1667.0,3219.0,1576.0,1379.0,1616.0,0.0,4188.0,1214.0,2248.0,2196.0,3147.0,1864.0,2027.0,0.0,3452.0,2610.0,966.0,3258.0,1149.0,1773.0,3305.0,1659.0,2096.0,0.0,992.0,2270.0,1456.0
330012233421,Железная штука №330012233421,511,2017.0,1477.0,0.0,2528.0,0.0,2199.0,300.0,743.0,0.0,915.0,206.0,0.0,3052.0,1048.0,2526.0,0.0,3628.0,332.0,3091.0,1710.0,2043.0,696.0,3887.0,963.0,732.0,1872.0,2178.0,741.0,3947.0,2858.0,1052.0,1321.0,3022.0,4966.0,236.0,210.0
330012233421,Железная штука №330012233421,522,2041.0,4851.0,0.0,4153.0,2536.0,0.0,1677.0,1363.0,0.0,3632.0,2640.0,0.0,224.0,833.0,2962.0,1708.0,3786.0,2371.0,4314.0,1381.0,0.0,2019.0,699.0,3178.0,1090.0,0.0,2825.0,1499.0,0.0,0.0,815.0,906.0,0.0,3146.0,0.0,2808.0
330012233421,Железная штука №330012233421,533,1280.0,616.0,239.0,960.0,3262.0,2810.0,1483.0,1229.0,0.0,1287.0,0.0,2412.0,1891.0,469.0,0.0,6642.0,943.0,1108.0,364.0,685.0,587.0,3509.0,4778.0,6570.0,729.0,191.0,0.0,0.0,0.0,1205.0,0.0,0.0,2668.0,1066.0,0.0,4057.0
330012233421,Железная штука №330012233421,544,1707.0,0.0,2457.0,1299.0,1202.0,4067.0,0.0,835.0,593.0,1093.0,1777.0,0.0,2788.0,4456.0,435.0,621.0,5026.0,1997.0,2556.0,0.0,3741.0,293.0,2390.0,3436.0,0.0,533.0,480.0,0.0,2879.0,802.0,2747.0,1533.0,499.0,3227.0,2542.0,0.0
330012233421,Железная штука №330012233421,555,285.0,0.0,1717.0,941.0,0.0,1093.0,1529.0,0.0,1408.0,76.0,0.0,786.0,1257.0,853.0,5986.0,2581.0,2316.0,0.0,0.0,1795.0,1476.0,0.0,2902.0,1481.0,3442.0,0.0,2677.0,6418.0,3309.0,32.0,0.0,2453.0,2606.0,2432.0,0.0,1407.0
330012233422,Железная штука №330012233422,511,2699.0,897.0,362.0,0.0,220.0,1035.0,590.0,1822.0,0.0,943.0,454.0,1025.0,3463.0,523.0,1405.0,0.0,4041.0,1799.0,335.0,843.0,519.0,722.0,3735.0,880.0,0.0,2990.0,0.0,823.0,1609.0,936.0,825.0,954.0,2595.0,448.0,1724.0,5296.0
330012233422,Железная штука №330012233422,522,0.0,1160.0,674.0,0.0,1015.0,705.0,0.0,1900.0,0.0,2219.0,817.0,1320.0,0.0,2434.0,1303.0,145.0,841.0,3489.0,567.0,0.0,3314.0,1341.0,2278.0,525.0,3395.0,1938.0,3604.0,1271.0,1640.0,79.0,0.0,4073.0,3483.0,0.0,227.0,875.0
330012233422,Железная штука №330012233422,533,1151.0,2310.0,2926.0,189.0,0.0,72.0,0.0,190.0,212.0,2439.0,4009.0,1500.0,4224.0,0.0,0.0,256.0,1579.0,0.0,0.0,711.0,109.0,0.0,0.0,1864.0,2087.0,5715.0,1709.0,0.0,2592.0,1714.0,3118.0,1221.0,550.0,4344.0,1387.0,3792.0
330012233422,Железная штука №330012233422,544,1263.0,2037.0,1119.0,2395.0,3720.0,1502.0,3500.0,1964.0,3925.0,5639.0,1638.0,254.0,414.0,2188.0,893.0,5911.0,4402.0,1273.0,0.0,2900.0,651.0,1200.0,3562.0,2508.0,2952.0,2295.0,2017.0,1575.0,0.0,855.0,0.0,2260.0,326.0,290.0,666.0,834.0
330012233422,Железная штука №330012233422,555,4083.0,218.0,1390.0,214.0,184.0,280.0,3079.0,334.0,1757.0,173.0,1036.0,3218.0,3678.0,628.0,3103.0,1739.0,80.0,2030.0,3999.0,870.0,1133.0,1745.0,1561.0,1637.0,0.0,466.0,0.0,471.0,4469.0,941.0,0.0,478.0,2384.0,0.0,0.0,413.0
330012233423,Железная штука №330012233423,511,3505.0,3923.0,168.0,2159.0,539.0,1661.0,1626.0,605.0,337.0,1934.0,1174.0,2830.0,653.0,1230.0,2476.0,905.0,1352.0,2802.0,2306.0,766.0,1308.0,434.0,1061.0,390.0,0.0,344.0,1603.0,2184.0,0.0,536.0,0.0,1083.0,1892.0,2127.0,2428.0,3296.0
330012233423,Железная штука №330012233423,522,2252.0,1138.0,599.0,3536.0,0.0,0.0,0.0,0.0,2093.0,666.0,2332.0,3887.0,363.0,733.0,3950.0,3160.0,2260.0,2900.0,2138.0,4848.0,2688.0,1323.0,2427.0,3407.0,0.0,3357.0,0.0,1051.0,274.0,2584.0,1123.0,3117.0,0.0,2409.0,244.0,0.0
330012233423,Железная штука №330012233423,533,4692.0,0.0,2423.0,2396.0,2502.0,1228.0,1502.0,958.0,0.0,0.0,0.0,194.0,1962.0,1380.0,0.0,1159.0,2163.0,2863.0,0.0,1210.0,263.0,1797.0,1376.0,0.0,692.0,2511.0,3255.0,0.0,1432.0,3727.0,2470.0,354.0,754.0,1707.0,338.0,5074.0
330012233423,Железная штука №330012233423,544,624.0,2669.0,289.0,0.0,0.0,1296.0,1608.0,0.0,1149.0,1979.0,3158.0,379.0,2889.0,1868.0,1458.0,349.0,1405.0,2422.0,0.0,1932.0,1202.0,2637.0,0.0,1164.0,595.0,239.0,525.0,3492.0,1742.0,308.0,4017.0,3623.0,1499.0,1158.0,0.0,0.0
330012233423,Железная штука №330012233423,555,277.0,3566.0,1680.0,140.0,2217.0,3614.0,1762.0,5019.0,221.0,853.0,1523.0,208.0,2952.0,1271.0,1605.0,2922.0,400.0,4123.0,1803.0,4326.0,1528.0,634.0,981.0,2226.0,1764.0,0.0,1441.0,1161.0,0.0,6383.0,1536.0,1133.0,0.0,936.0,1461.0,1566.0
330012233424,Железная штука №330012233424,511,0.0,691.0,1706.0,1932.0,0.0,3304.0,269.0,1984.0,1363.0,546.0,1709.0,1485.0,1854.0,0.0,451.0,247.0,656.0,868.0,6231.0,0.0,1880.0,416.0,2465.0,3534.0,345.0,735.0,198.0,4016.0,1544.0,2515.0,885.0,1429.0,0.0,154.0,0.0,0.0
330012233424,Железная штука №330012233424,522,0.0,1006.0,1243.0,0.0,167.0,1367.0,2570.0,934.0,346.0,407.0,272.0,540.0,610.0,1447.0,2053.0,2477.0,1065.0,190.0,1568.0,1770.0,0.0,0.0,1599.0,3762.0,3983.0,2288.0,145.0,0.0,1193.0,210.0,0.0,0.0,1337.0,1046.0,0.0,1790.0
330012233424,Железная штука №330012233424,533,3052.0,694.0,1850.0,3155.0,1677.0,0.0,977.0,396.0,0.0,1620.0,831.0,1357.0,1707.0,2484.0,3043.0,3041.0,1653.0,408.0,0.0,0.0,1961.0,0.0,497.0,310.0,1242.0,1735.0,860.0,1779.0,334.0,1796.0,0.0,201.0,0.0,0.0,2356.0,5394.0
330012233424,Железная штука №330012233424,544,2949.0,715.0,3067.0,1774.0,2111.0,0.0,1562.0,1634.0,1724.0,1982.0,0.0,1979.0,931.0,0.0,4873.0,4355.0,0.0,805.0,211.0,2195.0,1105.0,0.0,871.0,586.0,1404.0,816.0,1157.0,1589.0,881.0,2489.0,0.0,1252.0,0.0,685.0,2211.0,2114.0
330012233424,Железная штука №330012233424,555,0.0,278.0,2462.0,1740.0,1466.0,1155.0,1838.0,4561.0,2033.0,0.0,6083.0,2112.0,2182.0,1358.0,849.0,470.0,0.0,679.0,777.0,1282.0,197.0,499.0,201.0,131.0,0.0,0.0,626.0,0.0,0.0,183.0,0.0,7510.0,167.0,0.0,210.0,478.0
330012233425,Железная штука №330012233425,511,221.0,474.0,5293.0,267.0,0.0,166.0,666.0,3046.0,1025.0,3206.0,0.0,2540.0,1991.0,0.0,1583.0,2768.0,1148.0,3147.0,233.0,3923.0,1028.0,217.0,1314.0,441.0,1675.0,2059.0,1446.0,2414.0,1381.0,0.0,737.0,1454.0,300.0,0.0,2071.0,5382.0
330012233425,Железная штука №330012233425,522,407.0,642.0,0.0,0.0,880.0,981.0,0.0,404.0,3151.0,1337.0,2297.0,571.0,465.0,427.0,822.0,1723.0,2348.0,399.0,0.0,117.0,663.0,1946.0,1186.0,2180.0,1868.0,0.0,328.0,1354.0,471.0,736.0,210.0,2707.0,1695.0,1559.0,0.0,531.0
330012233425,Железная штука №330012233425,533,2026.0,0.0,0.0,768.0,3015.0,872.0,3102.0,0.0,430.0,1226.0,0.0,0.0,1652.0,134.0,845.0,154.0,417.0,2767.0,2108.0,0.0,2732.0,1211.0,420.0,680.0,1091.0,4578.0,1717.0,2364.0,0.0,1314.0,1905.0,3062.0,1071.0,2602.0,359.0,2148.0
330012233425,Железная штука №330012233425,544,1291.0,1619.0,348.0,836.0,0.0,0.0,1414.0,614.0,1708.0,956.0,3064.0,1189.0,305.0,1956.0,926.0,1108.0,0.0,614.0,326.0,4979.0,2394.0,2158.0,2010.0,1574.0,0.0,0.0,0.0,3718.0,1196.0,249.0,383.0,0.0,1332.0,1590.0,0.0,1138.0
330012233425,Железная штука №330012233425,555,1743.0,3650.0,330.0,380.0,4131.0,2606.0,388.0,1485.0,148.0,453.0,714.0,180.0,1830.0,1131.0,4260.0,0.0,2516.0,1402.0,3221.0,2719.0,6452.0,263.0,0.0,3736.0,1295.0,400.0,0.0,337.0,1852.0,1973.0,4115.0,1176.0,3722.0,2643.0,959.0,5971.0
330012233426,Железная штука №330012233426,511,2637.0,0.0,799.0,1038.0,1638.0,635.0,355.0,0.0,3066.0,760.0,2869.0,602.0,436.0,1284.0,382.0,2695.0,287.0,1517.0,0.0,0.0,0.0,2297.0,450.0,0.0,520.0,0.0,3455.0,864.0,3333.0,1973.0,0.0,0.0,1545.0,986.0,0.0,0.0
330012233426,Железная штука №330012233426,522,811.0,2818.0,0.0,3084.0,2092.0,6630.0,236.0,2060.0,0.0,0.0,0.0,1845.0,0.0,2165.0,1918.0,1780.0,4730.0,2665.0,0.0,0.0,0.0,4014.0,1486.0,8180.0,0.0,347.0,2435.0,582.0,3082.0,0.0,1220.0,0.0,1506.0,2254.0,0.0,2203.0
330012233426,Железная штука №330012233426,533,431.0,854.0,2854.0,2540.0,6219.0,3250.0,2061.0,2650.0,142.0,1155.0,3611.0,2413.0,0.0,1290.0,0.0,0.0,272.0,545.0,352.0,243.0,0.0,447.0,1686.0,0.0,457.0,2196.0,2481.0,799.0,1102.0,354.0,0.0,1476.0,272.0,1199.0,0.0,2261.0
330012233426,Железная штука №330012233426,544,893.0,834.0,3027.0,1964.0,0.0,185.0,2830.0,659.0,839.0,1569.0,1014.0,1581.0,2105.0,620.0,1568.0,1864.0,439.0,2149.0,2490.0,172.0,0.0,2115.0,1870.0,2113.0,1673.0,3625.0,1359.0,1764.0,2379.0,5624.0,0.0,577.0,2839.0,0.0,2241.0,2711.0
330012233426,Железная штука №330012233426,555,704.0,203.0,0.0,948.0,3552.0,0.0,467.0,376.0,242.0,55.0,240.0,191.0,0.0,2172.0,212.0,4185.0,2346.0,1081.0,0.0,0.0,444.0,3779.0,4942.0,588.0,215.0,639.0,718.0,0.0,1771.0,2073.0,2904.0,3511.0,1565.0,542.0,2213.0,176.0
330012233427,Железная штука №330012233427,511,225.0,1787.0,0.0,212.0,3679.0,117.0,223.0,1635.0,0.0,3247.0,670.0,2948.0,1558.0,964.0,2179.0,1654.0,0.0,0.0,753.0,0.0,4092.0,1913.0,1188.0,4135.0,376.0,1283.0,2967.0,0.0,0.0,732.0,454.0,0.0,345.0,5967.0,1105.0,0.0
330012233427,Железная штука №330012233427,522,184.0,669.0,0.0,2045.0,345.0,1513.0,0.0,3360.0,3518.0,59.0,0.0,2169.0,2772.0,687.0,1421.0,0.0,0.0,2887.0,2467.0,3513.0,1380.0,1465.0,1974.0,4655.0,3945.0,335.0,1323.0,503.0,1703.0,1655.0,988.0,1483.0,1230.0,1172.0,233.0,1280.0
330012233427,Железная штука №330012233427,533,4164.0,2306.0,3459.0,0.0,165.0,1832.0,2774.0,0.0,0.0,381.0,3224.0,207.0,661.0,4223.0,0.0,403.0,1797.0,1458.0,184.0,3568.0,1967.0,274.0,210.0,761.0,1325.0,1166.0,893.0,270.0,229.0,0.0,440.0,1697.0,2549.0,1873.0,3044.0,3278.0
